node,degree,degree_centrality,closeness_centrality,betweenness_centrality,clustering_coefficient
abyssalblue.party,542,0.038683891228320604,0.5096262744098661,5.170653886221541e-07,0.8924637305522778
abyssdomain.expert,9950,0.7101563057597602,0.7751453718217487,0.00011772234692887286,0.575714334058472
academiccloud.social,8621,0.6153022625080294,0.7219902625398241,6.142126245073381e-05,0.6585337266605502
acastle.name,118,0.008421954178859468,0.501683904484089,7.154976479548776e-11,0.993103448275862
acc4e.com,9169,0.6544143886945971,0.7430224526138114,8.202322490785796e-05,0.6210772955080258
accessnow.social,5127,0.3659267718221398,0.611725182034856,8.60451326513396e-06,0.8267994500361896
accioly.social,7511,0.5360787952323175,0.6829399698575833,3.405835989301081e-05,0.7228831712600481
acg.mn,8974,0.6404967525515667,0.7353744954290458,0.0001025059112672946,0.6195581767961935
acgn.ca,220,0.015701948469060024,0.5037050770489169,1.3282018511714038e-09,0.9802407638024077
achichaiskey.xsns.jp,227,0.016201555920348297,0.5038319412067747,9.128033165976753e-08,0.9222642392109469
acillba-lux.com,109,0.00777960174148883,0.501683904484089,2.5016252597978707e-09,0.9904858987427795
ack.nerdfight.online,9011,0.6431375347940904,0.736806163744272,7.813225583222687e-05,0.6153512706322314
acra.network,5087,0.36307187210049247,0.6107113760722181,5.437677088641012e-06,0.8780252315954843
acrion.social,7972,0.5689815145243023,0.6986479639754473,5.5944788453688154e-05,0.6724413001646775
act1.hagi.moe,383,0.02733566483477268,0.5067125435845807,2.423989287600423e-08,0.966153131108772
activity.kammeyer.me,3222,0.22996217257868817,0.5647737816391017,6.110962026865476e-07,0.9577768951467046
activitypub.academy,4679,0.33395189493969024,0.6000600420791862,1.0359179095659283e-05,0.8637608424056583
activitypub.blankpad.net,3917,0.2795660552423096,0.5809650724789399,2.0398212913182936e-06,0.9190433398528125
activitypub.garmy.jp,3136,0.22382413817714653,0.5627989687697394,6.7410907894742945e-06,0.8097439214920418
activitypub.lullis.net,538,0.03839840125615588,0.5095520957010257,4.77024119698465e-09,0.9856216208732252
actuallyacat.com,7120,0.5081721504532154,0.6701603800890111,2.5755865388140308e-05,0.7537036510935288
ad-astra.moe,6094,0.4349439725929627,0.638735626600369,1.8404060816056237e-05,0.7811077947216891
ad-libitum-51days.whippy.kr,98,0.006994504318035829,0.5014683119166269,3.5197490361838304e-11,0.9915842625710077
adforward.org,7500,0.5352936978088645,0.6825072448194126,2.7516714023885484e-05,0.7405435391385518
adhd.energy,7103,0.5069588180715152,0.6695835672528996,2.7880165830040937e-05,0.7400921699546438
adhd.recipes,1939,0.13839126400685176,0.5369454788128336,1.0670891675393843e-06,0.9013449955319388
adlsolarpunk.net,5453,0.38919420455356507,0.6205903714749108,1.0026581020736076e-05,0.8390061458963874
adtech.life,3310,0.2362429519663122,0.5667395637833855,6.808312312455703e-07,0.9565318060512435
adultsocial.realworld.place,438,0.031261151952037686,0.5076494033483139,9.928910221104478e-09,0.9817568280080143
advent.social,7132,0.5090286203697095,0.6704812612860852,2.1969667412399197e-05,0.7642513437140201
adxm.social,2671,0.19063592891299694,0.552452011755233,4.146901927644072e-07,0.9605539874109067
aeronavis.felesitas.cloud,710,0.05067447005923917,0.5127801795063677,1.2696708513732367e-07,0.9368203579729435
aethernet.social,7610,0.5431446720433944,0.6862534252369463,4.919137901390915e-05,0.6740804728614309
aethy.com,10522,0.7509813717793162,0.800400179591877,0.00023098187367562228,0.5124997513594204
afcolegiado.app,599,0.042752123331667974,0.5106670486838514,1.330269857461062e-08,0.9771916404710191
afhub.top,562,0.04011134108914424,0.5100160672333877,1.8880207206863185e-07,0.9034261391389296
afnsocial.co,4284,0.3057597601884234,0.5899975200960601,2.059562147694724e-06,0.9248509895046819
afop.social,8900,0.6352151880665192,0.7325277852040118,0.00010492624221812417,0.615180748752227
after1ife.rip,160,0.011419598886589109,0.5026202850667584,2.3946546957142214e-09,0.9789308176100628
afternoonauthor.online,992,0.07080151309685248,0.5181115603640762,7.958853798308677e-09,0.9921246866963966
afterspace.rocks,9554,0.6818927985154521,0.7584769332661624,0.00010345131294320218,0.5955367585455457
agda.club,6892,0.4918992220398259,0.6628325826924116,2.159935521818991e-05,0.7673850243990812
agency.spaceagency.space,2864,0.20441082006994504,0.5566908301645818,6.557040824379752e-07,0.9585993615323224
agilealliance.social,10142,0.7238598244236671,0.7834285074387316,0.00012699706743381524,0.5638775653348912
agilodon.social,7983,0.5697666119477554,0.6989269349618114,3.75582655371165e-05,0.7050995015623434
agora-thinktanks.social,6236,0.4450788666048105,0.6428703122743499,2.275681986819163e-05,0.7509089936437572
agora.echelon.pl,10242,0.7309970737277853,0.7877919067206689,0.00014114547850307746,0.5542040925017091
agora.ilot.io,6108,0.43594318749553923,0.639143783009717,1.0784064801063003e-05,0.8339532002364727
agora.l0g.eu,165,0.011776461351795019,0.5026563695153955,2.330079785153064e-10,0.9924611973392461
ai.wiki,8723,0.62258225679823,0.7258825950940795,9.616321278092785e-05,0.6151989473043074
aidoru.cafe,710,0.05067447005923917,0.5127426269483665,4.1149257028190606e-08,0.9617592721349252
aikido.social,2934,0.2094068945828278,0.5582443446802698,1.206645659421117e-06,0.9185157915556029
ailbhean.co-shaoghal.net,8782,0.6267932338876597,0.7279959002838519,6.290408186140312e-05,0.6514561897905332
ains-no-misskey.wkspcloud.com,115,0.008207836699735922,0.5018097524443609,4.6250414233825647e-11,0.9957284515636918
aipi.social,9037,0.6449932196131611,0.7378544178501364,8.319479817105855e-05,0.6298331932618951
aipub.social,9114,0.6504889015773321,0.7407819468846156,8.36607360391456e-05,0.6194422208411441
air11.social,7436,0.5307258582542288,0.6804179369271083,2.954041005691612e-05,0.7331977732060501
aircrew.rocks,7517,0.5365070301905646,0.6830732264370678,3.319492111976731e-05,0.731251596965629
airi.cafe,507,0.03618585397187924,0.5089964429486347,1.86066443154239e-08,0.976955040500191
airobot.pp.ua,2062,0.14717008065091713,0.5394899499907493,5.761307246051196e-07,0.9256112431178822
airpollution.science,7758,0.5537078010134894,0.6911990296638476,3.402222991822994e-05,0.7196244471849441
aisler.social,5459,0.38962243951181214,0.6207279197641691,8.881984522564441e-06,0.8336761511627603
ajax.collabfc.com,116,0.008279209192777104,0.5016659313567114,2.296876477773319e-09,0.9727136431784108
